customer_id,timestamp,branch_id,interaction_type,banker_note,mortgage_discussion_flag,rate_discussion_flag,refinancing_discussion_flag
C0100000,2026-08-17 14:04:52.364422,B114,GENERAL,Discussed CD options.,0,0,0
C0100008,2026-06-18 21:58:01.933774,B064,GENERAL,Client came in to update address on file.,0,0,0
C0100016,2026-08-11 02:49:15.131394,B060,GENERAL,Signed paperwork for savings account.,0,0,0
C0100022,2026-08-15 05:29:06.156883,B075,TELLER,Client came in to update address on file.,0,0,0
C0100026,2026-08-04 01:24:25.359078,B045,TELLER,Discussed CD options.,0,0,0
C0100029,2026-06-29 01:25:57.502886,B058,ACCOUNT_SERVICE,Client came in to update address on file.,0,0,0
C0100031,2026-09-07 02:57:15.539182,B056,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100033,2026-07-02 21:40:49.247579,B043,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0100034,2026-08-28 00:55:31.143484,B037,GENERAL,Signed paperwork for savings account.,0,0,0
C0100038,2026-08-01 21:48:55.266223,B043,TELLER,Signed paperwork for savings account.,0,0,0
C0100039,2026-06-22 20:14:22.769730,B041,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100041,2026-07-12 08:02:12.364035,B037,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100043,2026-09-07 07:56:52.601348,B096,ACCOUNT_SERVICE,Client came in to update address on file.,0,0,0
C0100053,2026-09-07 18:07:55.551337,B005,GENERAL,Signed paperwork for savings account.,0,0,0
C0100054,2026-07-10 15:03:34.998791,B085,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,1,1
C0100061,2026-07-29 03:50:37.687632,B067,ACCOUNT_SERVICE,Discussed CD options.,0,0,0
C0100064,2026-06-18 09:34:46.673806,B080,TELLER,Discussed CD options.,0,0,0
C0100080,2026-07-07 15:20:57.360572,B052,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100094,2026-08-27 23:52:39.102831,B101,ACCOUNT_SERVICE,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100104,2026-06-20 17:44:52.554129,B002,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0100120,2026-06-30 11:41:16.563597,B032,TELLER,Discussed CD options.,0,0,0
C0100129,2026-07-09 06:29:15.595614,B050,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100130,2026-06-23 06:52:20.951516,B045,ACCOUNT_SERVICE,Client came in to update address on file.,0,0,0
C0100131,2026-07-26 14:30:34.450602,B083,TELLER,Client came in to update address on file.,0,0,0
C0100139,2026-08-30 15:12:10.023822,B029,GENERAL,Discussed CD options.,0,0,0
C0100143,2026-08-11 19:58:40.775292,B078,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0100145,2026-08-05 18:41:05.370847,B063,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100159,2026-08-15 20:55:47.698963,B007,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100165,2026-08-10 21:35:18.416515,B020,ACCOUNT_SERVICE,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100171,2026-08-28 15:29:06.587304,B039,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100174,2026-09-10 01:23:04.895443,B070,TELLER,Signed paperwork for savings account.,0,0,0
C0100179,2026-06-16 13:47:23.536833,B040,GENERAL,Client came in to update address on file.,0,0,0
C0100187,2026-06-28 05:05:08.705645,B012,TELLER,Discussed CD options.,0,0,0
C0100188,2026-07-27 23:24:05.873659,B051,GENERAL,Discussed CD options.,0,0,0
C0100194,2026-08-21 14:31:39.636518,B036,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100204,2026-07-03 08:05:41.135057,B047,GENERAL,Client came in to update address on file.,0,0,0
C0100205,2026-06-16 04:06:20.107209,B027,TELLER,Discussed CD options.,0,0,0
C0100208,2026-06-26 11:57:10.070881,B008,ACCOUNT_SERVICE,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100224,2026-07-11 22:08:18.315239,B055,ACCOUNT_SERVICE,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100226,2026-08-01 16:29:57.288464,B049,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,1,1
C0100229,2026-07-23 19:32:09.236464,B099,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0100245,2026-08-02 13:43:00.332041,B016,ACCOUNT_SERVICE,Client came in to update address on file.,0,0,0
C0100257,2026-08-19 09:58:00.359233,B049,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,1,1
C0100274,2026-06-23 20:12:25.310678,B007,ACCOUNT_SERVICE,Discussed CD options.,0,0,0
C0100277,2026-09-10 14:18:08.714250,B016,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,1,1
C0100280,2026-07-10 18:08:27.336576,B053,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0100290,2026-08-03 04:06:38.811546,B050,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0100292,2026-07-17 02:05:36.764929,B054,ACCOUNT_SERVICE,Client came in to update address on file.,0,0,0
C0100299,2026-08-08 11:04:10.037595,B080,TELLER,Signed paperwork for savings account.,0,0,0
C0100302,2026-06-15 22:51:22.129894,B064,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0100304,2026-08-06 21:16:23.999092,B017,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0100314,2026-07-21 04:20:44.374835,B117,GENERAL,Client came in to update address on file.,0,0,0
C0100321,2026-08-25 23:45:05.093465,B076,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
