mortgage_id,customer_id,origination_date,original_balance,current_balance,mortgage_rate,original_term_years,remaining_term_months,monthly_payment,ltv,property_value,delinquency_flag
M0100000,C0100000,2020-03-19,254000,235000,5.832,30,283,1495.53,0.589,399000,0
M0100001,C0100001,2022-06-01,343000,309000,6.454,15,129,2979.23,0.593,521000,0
M0100002,C0100002,2024-07-31,158000,154000,5.659,30,335,912.93,0.55,280000,0
M0100003,C0100003,2025-05-13,435000,428000,3.024,30,345,1839.61,0.551,777000,0
M0100004,C0100004,2024-05-22,278000,271000,4.432,30,333,1397.38,0.566,479000,0
M0100005,C0100005,2022-06-06,337000,320000,4.114,30,309,1631.12,0.566,565000,0
M0100006,C0100006,2021-10-07,335000,316000,3.426,30,301,1490.5,0.621,509000,0
M0100007,C0100007,2025-08-18,215000,212000,5.313,30,348,1195.64,0.545,389000,0
M0100008,C0100008,2024-02-02,322000,312000,6.062,30,329,1943.41,0.508,614000,0
M0100009,C0100009,2020-10-12,166000,155000,6.568,30,290,1056.67,0.695,223000,0
M0100010,C0100010,2023-04-29,258000,248000,6.046,30,320,1554.48,0.495,501000,0
M0100011,C0100011,2021-03-18,188000,176000,4.886,30,295,996.17,0.657,268000,0
M0100012,C0100012,2023-06-17,211000,195000,6.691,15,142,1860.26,0.684,285000,0
M0100013,C0100013,2023-12-30,106000,99000,5.269,15,148,853.17,0.532,186000,0
M0100014,C0100014,2021-07-20,264000,248000,5.567,30,299,1510.08,0.595,417000,0
M0100015,C0100015,2024-02-15,418000,405000,4.772,30,330,2186.03,0.488,830000,0
M0100016,C0100016,2021-09-27,358000,337000,5.23,30,301,1972.46,0.603,559000,0
M0100017,C0100017,2024-07-22,564000,550000,5.037,30,335,3040.44,0.56,982000,0
M0100018,C0100018,2021-03-09,204000,191000,3.98,30,294,971.58,0.687,278000,0
M0100019,C0100019,2019-12-26,258000,238000,6.201,30,280,1580.34,0.589,404000,0
M0100020,C0100020,2020-04-04,518000,479000,5.684,30,283,3001.22,0.525,912000,0
M0100021,C0100021,2020-08-16,314000,270000,6.374,15,108,2713.57,0.641,421000,0
M0100022,C0100022,2025-08-21,360000,356000,4.726,30,348,1872.73,0.588,605000,0
M0100023,C0100023,2020-09-03,943000,877000,6.276,30,288,5822.17,0.473,1854000,0
M0100024,C0100024,2021-12-17,289000,273000,3.774,30,304,1342.34,0.641,426000,0
M0100025,C0100025,2022-11-25,257000,246000,6.096,30,315,1556.74,0.563,437000,0
M0100026,C0100026,2020-11-12,199000,172000,6.243,15,111,1705.51,0.501,343000,0
M0100027,C0100027,2020-10-30,284000,265000,4.358,30,290,1415.12,0.497,533000,0
M0100028,C0100028,2020-02-05,546000,504000,6.728,30,281,3533.36,0.677,745000,0
M0100029,C0100029,2022-02-24,437000,391000,7.214,15,126,3980.35,0.501,781000,0
M0100030,C0100030,2021-06-28,671000,630000,4.868,30,298,3548.14,0.564,1117000,0
M0100031,C0100031,2023-11-26,393000,380000,7.094,30,327,2639.5,0.583,652000,0
M0100032,C0100032,2021-08-29,107000,94000,3.628,15,120,771.67,0.508,185000,0
M0100033,C0100033,2023-02-12,449000,430000,5.35,30,318,2507.28,0.519,828000,0
M0100034,C0100034,2021-11-01,345000,306000,2.8,15,122,2349.46,0.496,617000,0
M0100035,C0100035,2023-03-31,328000,315000,6.523,30,319,2078.15,0.745,423000,0
M0100036,C0100036,2024-08-20,603000,574000,3.817,15,156,4405.22,0.592,970000,0
M0100037,C0100037,2023-08-03,286000,276000,3.354,30,323,1261.07,0.551,501000,0
M0100038,C0100038,2023-09-08,438000,423000,5.789,30,324,2566.91,0.769,550000,0
M0100039,C0100039,2024-03-30,191000,180000,6.64,15,151,1678.55,0.638,282000,0
M0100040,C0100040,2025-01-25,153000,150000,5.055,30,341,826.49,0.735,204000,0
