customer_id,churned_within_90d,churn_date
C0100000,0,
C0100001,0,
C0100002,0,
C0100003,0,
C0100004,0,
C0100005,0,
C0100006,0,
C0100007,0,
C0100008,0,
C0100009,0,
C0100010,0,
C0100011,0,
C0100012,0,
C0100013,0,
C0100014,0,
C0100015,0,
C0100016,0,
C0100017,0,
C0100018,0,
C0100019,0,
C0100020,0,
C0100021,0,
C0100022,0,
C0100023,0,
C0100024,0,
C0100025,0,
C0100026,0,
C0100027,0,
C0100028,0,
C0100029,1,2026-10-10
C0100030,0,
C0100031,0,
C0100032,0,
C0100033,0,
C0100034,0,
C0100035,1,2026-11-12
C0100036,0,
C0100037,0,
C0100038,0,
C0100039,0,
C0100040,0,
C0100041,0,
C0100042,0,
C0100043,0,
C0100044,0,
C0100045,0,
C0100046,0,
C0100047,0,
C0100048,0,
C0100049,0,
C0100050,0,
C0100051,0,
C0100052,0,
C0100053,0,
C0100054,0,
C0100055,0,
C0100056,0,
C0100057,0,
C0100058,0,
C0100059,0,
C0100060,0,
C0100061,0,
C0100062,0,
C0100063,0,
C0100064,0,
C0100065,1,2026-10-03
C0100066,0,
C0100067,0,
C0100068,0,
C0100069,0,
C0100070,0,
C0100071,0,
C0100072,0,
C0100073,0,
C0100074,0,
C0100075,0,
C0100076,0,
C0100077,0,
C0100078,0,
C0100079,0,
C0100080,0,
C0100081,0,
C0100082,0,
C0100083,0,
C0100084,0,
C0100085,0,
C0100086,0,
C0100087,0,
C0100088,0,
C0100089,0,
C0100090,0,
C0100091,0,
C0100092,0,
C0100093,0,
C0100094,0,
C0100095,0,
C0100096,0,
C0100097,0,
C0100098,0,
C0100099,0,
C0100100,0,
C0100101,0,
C0100102,0,
C0100103,0,
C0100104,0,
C0100105,0,
C0100106,0,
C0100107,0,
C0100108,0,
C0100109,0,
C0100110,0,
C0100111,0,
C0100112,0,
C0100113,0,
C0100114,0,
C0100115,0,
C0100116,0,
C0100117,0,
C0100118,0,
C0100119,0,
C0100120,0,
C0100121,0,
C0100122,0,
C0100123,1,2026-11-24
C0100124,0,
C0100125,0,
C0100126,0,
C0100127,0,
C0100128,0,
C0100129,0,
C0100130,0,
C0100131,0,
C0100132,0,
C0100133,0,
C0100134,0,
C0100135,0,
C0100136,0,
C0100137,0,
C0100138,0,
C0100139,0,
C0100140,0,
C0100141,0,
C0100142,0,
C0100143,0,
C0100144,0,
C0100145,0,
C0100146,0,
C0100147,0,
C0100148,0,
C0100149,0,
C0100150,0,
C0100151,0,
C0100152,0,
C0100153,0,
C0100154,0,
C0100155,0,
C0100156,0,
C0100157,0,
C0100158,0,
C0100159,0,
C0100160,0,
C0100161,0,
C0100162,0,
C0100163,0,
C0100164,0,
C0100165,0,
C0100166,0,
C0100167,0,
C0100168,0,
C0100169,0,
C0100170,0,
C0100171,0,
C0100172,0,
C0100173,0,
C0100174,0,
C0100175,0,
C0100176,1,2026-11-17
C0100177,0,
C0100178,0,
C0100179,0,
C0100180,0,
C0100181,0,
C0100182,0,
C0100183,0,
C0100184,0,
C0100185,0,
C0100186,0,
C0100187,0,
C0100188,0,
C0100189,0,
C0100190,0,
C0100191,0,
C0100192,0,
C0100193,0,
C0100194,0,
C0100195,0,
C0100196,0,
C0100197,0,
C0100198,0,
